,date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO,company,review_title_None,cons_use strengths lacked appropriate tools training specialized projects advice management mandating disability leave force employee workplace illegal use strengths lacked appropriate tools training specialized projects advice management mandating disability leave force employee workplace illegal,pros_None,advice_to_mgmt_mandating disability leave force employee workplace illegal mandating disability leave force employee workplace illegal
0,Tue Aug 25 2020,Anonymous,"Burton upon Trent, England",Former Employee ,,0,,hard actually participate take holiday incredibly small levels diversity terms gender race hardly women poc take holiday incredibly small levels diversity terms gender race hardly women poc management positions advice,,4.0,4.0,2.0,3.0,5.0,2.0,Recommends,Negative Outlook,No opinion of CEO,Molson Coors Beverage,0.0,0.6124,0.0,0.0
1,Sun Dec 06 2020,Anonymous,,Former Employee ,,0,,glass ceiling minorities borderline racist culture advice management really take look hiring,,1.0,3.0,3.0,1.0,3.0,3.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO,Textron,0.0,-0.6124,0.0,0.0
2,Sun Dec 09 2018, Former Employee,"Augusta, GA",Former Employee ,,9,,view outside volatile organization little diversity businesses looking product offering standpoint,perhaps look portfolio diversity business lack thereof look developing true plan,3.0,2.0,3.0,3.0,3.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,Textron,0.0,0.0,0.0,0.128
3,Thu Oct 25 2018,,, ,racism,3,,blacks called laborers behind closed doors niggers room black man woman grow fired find racism towards blacks blacks called laborers behind closed doors niggers room racism towards blacks blacks called laborers behind closed doors niggers,,1.0,5.0,1.0,1.0,5.0,1.0,,,,Textron,-0.6249,-0.9153,0.0,0.0
4,Wed Aug 01 2018, Buyer/Planner,"Kennesaw, GA",Current Employee ,,1,,work politics lack accepting diversity discrimination lawsuit come rate they’re headed favoritism company work politics lack accepting diversity discrimination lawsuit come rate they’re headed favoritism company,,1.0,1.0,1.0,1.0,2.0,1.0,Doesn't Recommend,Negative Outlook,No opinion of CEO,Textron,0.0,0.0516,0.0,0.0
5,Wed Jan 17 2018,Anonymous,,Current Employee ,,3,,progressive company culture try adapting paint zebra black white still stripes 3,progressive company culture try adapting paint zebra black white still stripes,2.0,1.0,1.0,2.0,2.0,1.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO,Textron,0.0,0.0,0.0,0.0
6,Thu Apr 09 2020, Valuations,"Salt Lake City, UT",Current Employee ,,2,perks great free catered lunch snacks health insurance benefits 12 weeks paid paternity leave unlimited sick leave 15 19 days pto paid holidays etc good,,,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Neutral Outlook,Approves of CEO,AAR,0.0,0.0,0.8957,0.0
7,Tue Apr 16 2019,Anonymous,"Salt Lake City, UT",Current Employee ,,5,,growing pains still developing structures lack diversity salt lake advice management engage current employees showing career,engage current employees showing career trajectory options role diversity hiring,5.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO,AAR,0.0,-0.25,0.0,0.34
8,Mon Apr 15 2019,Anonymous,,Former Employee ,,15,,execs management extremely sexist preach gender diversity needed oddly enough rarely hire women management roles execs management extremely sexist preach gender diversity needed oddly enough rarely hire women management,,1.0,2.0,1.0,1.0,2.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,AAR,0.0,0.0,0.0,0.0
9,Thu Apr 04 2019,Anonymous,,Former Employee ,another sexist startup,23,,sure employees know stand truthfully bit behind diversity hiring ceo talks post,,1.0,1.0,4.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,AAR,0.0,0.6369,0.0,0.0
10,Wed Feb 20 2019,Anonymous,,Current Employee ,,13,,discuss executive team know we're behind diversity hiring ceo henry talks post,,3.0,5.0,2.0,3.0,3.0,3.0,Doesn't Recommend,Positive Outlook,Disapproves of CEO,AAR,0.0,0.0,0.0,0.0
11,Tue Apr 24 2018,Anonymous,,Former Employee ,,18,,people direction don't adjust women's minority concerns workplace complete refusal change would fire someone,,2.0,3.0,2.0,1.0,2.0,1.0,Doesn't Recommend,Negative Outlook,Approves of CEO,AAR,0.0,-0.34,0.0,0.0
12,Fri Feb 16 2018,Anonymous,"San Francisco, CA",Current Employee ,,6,part great culture sense community i'm minority love working founder receptive new ideas,,,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,AAR,0.0,0.0,0.8519,0.0
13,Mon Dec 11 2017,Anonymous,"Palo Alto, CA",Former Employee ,,11,,severe lack diversity non inclusive culture literally walk away minority applicant considering company that's best advice culture toxic among teams especially minorities severe lack diversity non inclusive culture literally walk away minority applicant considering,,2.0,4.0,1.0,4.0,4.0,1.0,Doesn't Recommend,Negative Outlook,,AAR,0.0,-0.63,0.0,0.0
14,Tue Dec 05 2017,Anonymous,,Former Employee ,dictatorship worst place minorities women,16,,matter way highway minority women good luck bad ceo,,1.0,2.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,,AAR,-0.6249,0.3612,0.0,0.0
15,Fri Apr 24 2020,Anonymous,,Former Employee ,,3,,policies bro culture among managers coupled poorly crafted inclusion” policies prevents true inclusion transparent cost employee mental health ceo,,1.0,3.0,1.0,3.0,1.0,2.0,Negative Outlook,,,AAR,0.0,0.4767,0.0,0.0
16,Sun Dec 13 2020, Operations Specialist,"Atlanta, GA",Former Employee ,,0,,approach yields really dumb managers advice management get rid racist old head managers get managers educated manage,get rid racist old head managers get managers educated manage,1.0,1.0,1.0,1.0,3.0,1.0,Doesn't Recommend,Negative Outlook,,Norfolk Southern,0.0,-0.8221,0.0,-0.6124
17,Thu Apr 16 2020, Analytical Chemist,"Cincinnati, OH",Current Employee ,,3,,upper management clueless running company ground managers openly make racist sexist comments advice management wouldn’t listen clueless running company ground managers openly make racist sexist comments advice management wouldn’t listen advice,,1.0,3.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,L Brands,0.0,-0.9186,0.0,0.0
18,Thu Nov 16 2017,Anonymous,,Former Employee ,,0,gain experience terms contracting companies especially entry level good diversity positions decent benefits match,,,3.0,5.0,3.0,2.0,3.0,3.0,Recommends,Neutral Outlook,Approves of CEO,L Brands,0.0,0.0,0.8467,0.0
19,Fri Aug 11 2017, Chemist,"Martinsburg, WV",Former Employee ,,7,,pay horrible hostile working environment discriminatory experienced harassment company told permanent job,,1.0,1.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,L Brands,0.0,-0.875,0.0,0.0
20,Sat Nov 19 2016,,"Cincinnati, OH"," in Cincinnati, OH",,5,,let without fault part hr told us orientation happy chose work,,3.0,5.0,3.0,2.0,2.0,3.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO,L Brands,0.0,0.7147,0.0,0.0
21,Mon Aug 31 2020,Anonymous,,Former Employee ,,3,,diversity management team servant leadership management micromanages,evaluating work consider diversity hiring management technical positions,2.0,1.0,2.0,2.0,2.0,2.0,Doesn't Recommend,Negative Outlook,No opinion of CEO,Jabil,0.0,0.0,0.0,0.0
22,Thu Aug 13 2020,Anonymous,"Saint Petersburg Beach, FL",Former Employee ,,0,people oriented leadership strong opportunity people willing invest effort great diversity inclusion process huge diversity skilled positions great pay benefits leadership strong opportunity people willing invest effort great diversity inclusion process huge diversity skilled positions great pay benefits,,,5.0,3.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,Jabil,0.0,0.0,0.9887,0.0
23,Fri Jul 03 2020," Vice President, CIO ","Tampa, FL",Former Employee ,,0,given jabil’s size diversity customers range locations provides excellent opportunities contribute,diversity senior management lagging manner similar large,,4.0,4.0,5.0,5.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO,Jabil,0.0,-0.2732,0.743,0.0
24,Wed May 13 2020, Engineer,"Saint Petersburg Beach, FL",Current Employee ,,5,diversity projects without building expertise single domain,lack career opportunities overall lack youth women minorities design center scarcities exacerbated particularly management levels comes bidding projects appropriately utilizing engineering resources hiring practices discrimination against women holding back promotions ignoring security safety working environment comes bidding projects appropriately utilizing engineering resources hiring practices discrimination against women holding back promotions ignoring security safety working environment,comes bidding projects appropriately utilizing engineering resources hiring practices discrimination against women holding back promotions ignoring security safety working environment comes bidding projects appropriately utilizing engineering resources hiring practices discrimination against women holding back promotions ignoring security safety working environment,1.0,1.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,,Jabil,0.0,0.4588,0.0,0.6124
25,Sun Feb 16 2020, Senior Quality Engineer,"West Chester, PA",Current Employee ,,2,,work quantity pto isn't awful isn't greatest there's maternity leave driving factor attrition another,real maternity leave becoming expectation labor market start,4.0,3.0,5.0,4.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO,Jabil,0.0,0.6165,0.0,-0.0516
26,Wed Aug 14 2019, Test Engineer,"Memphis, TN",Former Employee ,,2,good range diversity spreaded wealth knowledge,,,3.0,4.0,4.0,4.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO,Jabil,0.0,0.0,0.7269,0.0
27,Thu Feb 14 2019,Anonymous,,Former Employee ,,1,,lacking leadership skills among issues advice management diversity efforts lame need get serious,diversity efforts lame need get serious,3.0,2.0,2.0,2.0,3.0,2.0,Doesn't Recommend,Neutral Outlook,Approves of CEO,Jabil,0.0,-0.4767,0.0,-0.4767
28,Sun May 14 2017,Anonymous,,Current Employee ,,1,,upper management focus employee happiness retention equality needs versus line advice management take responsibility upper management focus employee happiness retention equality needs versus line advice management take responsibility,,3.0,4.0,4.0,4.0,4.0,2.0,Positive Outlook,,,MDU Resources Group,0.0,0.802,0.0,0.0
29,Sat May 02 2020, Dispatcher,"New York, NY",Former Employee ,,1,,experienced consistent verbal abuse felt physically uncomfortable sexual discrimination sexually provoked color race discrimination higher ups breaking rules favor never felt hr,,1.0,3.0,1.0,2.0,3.0,1.0,Doesn't Recommend,Negative Outlook,No opinion of CEO,Altice USA,0.0,-0.7351,0.0,0.0
30,Mon Apr 13 2020, Residential Sales Representative,,Current Employee ,employee harassment best,0,,residential sales management rampant employee harassment culture advice management look employee handbook policies,,1.0,1.0,1.0,5.0,,,Doesn't Recommend,Neutral Outlook,Disapproves of CEO,Altice USA,0.1779,-0.5423,0.0,0.0
31,Tue May 08 2018,Anonymous,,Current Employee ,,0,market fix things good benefits 12 weeks paternity leave ability work home needed vast majority people,,,4.0,4.0,4.0,4.0,3.0,3.0,Recommends,Positive Outlook,Disapproves of CEO,Digital Realty Trust,0.0,0.0,0.765,0.0
32,Tue Aug 30 2016,Anonymous,"New York, NY",Current Employee ,,3,,balance communication promotion opportunities culture others completely lacking lack diversity executive team legacy telx morale isn’t great lot,,3.0,5.0,1.0,3.0,4.0,2.0,Doesn't Recommend,Positive Outlook,No opinion of CEO,Digital Realty Trust,0.0,0.6275,0.0,0.0
33,Sun Apr 05 2015,,,Data Center Engineer ,,12,,insurance employees organizational protection employees against bullying overtime age minority discrimination thus leading exhaustion motivational issues turnover major,,1.0,1.0,1.0,1.0,1.0,1.0,Recommends,Positive Outlook,No opinion of CEO,Digital Realty Trust,0.0,-0.7506,0.0,0.0
34,Sat Jan 11 2020, Customer Service Representative,"San Antonio, TX",Former Employee ,,0,,received raise bonuses given not certain race make reason didn't get respect given employee racist company lie raises given 3yrs,,1.0,1.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,Catalent,0.0,-0.5815,0.0,0.0
35,Mon Aug 06 2018, Associate,"San Antonio, TX",Current Employee ,,0,,want employees not use sick time longer lgbt friendly make hard file fmla even,center liaisons take ownership show employees valued show lgbt employees back,2.0,1.0,1.0,1.0,3.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,Catalent,0.0,0.7005,0.0,0.4404
36,Thu Oct 12 2017, Team Lead,"Pharr, TX",Former Employee ,,0,,also trainers staff drugs premises sex hr supervisor we’re sex,,1.0,1.0,1.0,5.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Approves of CEO,Catalent,0.0,0.0,0.0,0.0
37,Thu May 05 2016, Driver,"Hurst, TX",Current Employee ,,0,,not hispanic speak spanish won't get far driver,,2.0,1.0,2.0,1.0,3.0,1.0,Doesn't Recommend,Negative Outlook,,BMC Stock Holdings,0.0,0.0,0.0,0.0
38,Wed Jun 03 2015, IT Department,"Boise, ID",Former Employee ,,8,,organization ever work advice management shave mustache change black shirt please leave boise real company come,shave mustache change black shirt please leave boise real company come,1.0,4.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,BMC Stock Holdings,0.0,0.2732,0.0,0.2732
39,Thu Jun 12 2008,,, ,,0,,new blood need hire lack diversity thought,new blood need hire lack diversity thought,2.0,4.0,3.0,2.5,1.0,,Doesn't Recommend,,Disapproves of CEO,BMC Stock Holdings,0.0,-0.3182,0.0,-0.3182
40,Fri Feb 05 2021, Director,"New York, NY",Current Employee ,mother met,0,,,,5.0,4.0,4.0,3.0,3.0,4.0,Recommends,Neutral Outlook,No opinion of CEO,MetLife,0.0,0.0,0.0,0.0
41,Thu Jan 28 2021, Sales Representative,"Tampa, FL",Current Employee ,,1,great health plans good employer paid short term disability plan great health plans good employer paid short term disability plan,,,1.0,1.0,1.0,1.0,1.0,4.0,Doesn't Recommend,Negative Outlook,,MetLife,0.0,0.0,0.9325,0.0
42,Wed Feb 06 2019, Senior Financial Analyst,"Columbus, OH",Current Employee ,,2,,values example fact formal maternity paternity policy 2019 egregious 2 values example fact formal maternity paternity policy 2019 egregious 2,values example fact formal maternity paternity policy 2019 egregious values example fact formal maternity paternity policy 2019 egregious,3.0,3.0,4.0,3.0,3.0,2.0,Recommends,Neutral Outlook,Approves of CEO,NiSource,0.0,0.6597,0.0,0.6597
43,Sat Jul 02 2016,,"Indianapolis, IN","Inventory in Indianapolis, IN",,1,,direct management responsibilities upper management open door policy repeated proven harassment not tolerated 1,direct management responsibilities upper management open door policy repeated proven harassment not tolerated,1.0,1.0,1.0,1.0,2.0,1.0,Doesn't Recommend,Negative Outlook,No opinion of CEO,Calumet Specialty Products Partners,0.0,-0.5423,0.0,-0.5423
44,Tue Dec 08 2020, Senior Interface Engineer,"Kansas City, MO",Former Employee ,,0,,team culture feel like can’t trust anyone it’s race climb ranks people constantly throw bus,,3.0,1.0,1.0,1.0,3.0,4.0,Recommends,Positive Outlook,Disapproves of CEO,Cerner,0.0,0.7003,0.0,0.0
45,Wed Jul 17 2019, Senior Advisor,"Spring, TX",Current Employee ,,0,nice work especially senior management diversity top lower levels especially women despite volatile nat,,,5.0,4.0,5.0,4.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO,Southwestern Energy,0.0,0.0,0.34,0.0
46,Sun Jan 28 2018, Gas Controller,"Houston, TX",Former Employee ,,1,,share tell company performing advice management diversify investments invest people appreciate knowledge pay people,diversify investments invest people appreciate knowledge pay people,3.0,5.0,4.0,1.0,2.0,2.0,Recommends,Negative Outlook,Disapproves of CEO,Southwestern Energy,0.0,0.5423,0.0,0.3182
47,Tue Feb 19 2013,Anonymous,"Houston, TX",Current Employee ,,0,,work make 2013 year prove naysayers wrong diversify shale portfolio,work make 2013 year prove naysayers wrong diversify shale portfolio,5.0,5.0,5.0,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO,Southwestern Energy,0.0,-0.4767,0.0,-0.4767
48,Mon Jan 09 2012,,"Conway, AR","Operations Geologist in Conway, AR",,0,,nothing company asset making realistic strides diversify meaningful way advice management realize operations geologists,,3.0,1.5,2.0,3.5,2.0,,Doesn't Recommend,,,Southwestern Energy,0.0,0.049,0.0,0.0
49,Wed Jun 17 2020, Order Picker,"Henderson, NV",Former Employee ,,0,replaced confusion wonder disappointment regret anger fiction given orientation replaced reality working lack support training,,,1.0,1.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,Levi Strauss,0.0,0.0,-0.891,0.0
50,Wed Dec 09 2020, Former Analyst,,Former Employee ,,1,,gone asap land administration division order accounting land techs sexist toward males unless pushover also like men,,2.0,4.0,1.0,2.0,1.0,4.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO,Pioneer Natural Resources,0.0,0.3612,0.0,0.0
51,Mon Nov 30 2020, Pumper/Lease Operator,"Midland, TX",Former Employee ,,0,,layoffs advice management accept christians equally important coveted lgbtq employees stop lying employees job security tell managers,accept christians equally important coveted lgbtq employees stop lying employees job security tell managers,1.0,3.0,1.0,1.0,1.0,3.0,Doesn't Recommend,Negative Outlook,,Pioneer Natural Resources,0.0,0.0516,0.0,0.0516
52,Wed Jul 25 2018,Anonymous,"Oakland, CA",Former Employee ,,17,,decision making positions invest high performing employees investigate discrimination unfair promotion compensation practices hire outside human resources department 17 agree isn’t enough continuing look improve diversity levels organization take employee complaints seriously decision making positions invest high performing employees investigate discrimination unfair promotion compensation practices hire outside human resources department 17,decision making positions invest high performing employees investigate discrimination unfair promotion compensation practices hire outside human resources department decision making positions invest high performing employees investigate discrimination unfair promotion compensation practices hire outside human resources department,1.0,3.0,1.0,1.0,3.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO,Mosaic,0.0,-0.6369,0.0,-0.7351
53,Mon Apr 02 2018,Anonymous,,Current Employee ,,3,environment strives success areas companies fail gender equality diversity opportunities advancement market rate pay scales etc things,,,4.0,5.0,5.0,4.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO,Mosaic,0.0,0.0,0.34,0.0
54,Fri Feb 23 2018,Anonymous,,Current Employee ,,3,tools autonomy success company developed creative programs promote diversity workforce employee job satisfaction ongoing surveys innovative policies,,,5.0,4.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,Mosaic,0.0,0.0,0.9325,0.0
55,Tue May 24 2016,,, ,,12,,lack diversity management team women positions power women positions power mosaic suffering gender dynamics considers progressive management,,4.0,2.0,5.0,4.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO,Mosaic,0.0,-0.5106,0.0,0.0
56,Thu Nov 12 2015,Anonymous,,Former Employee ,,6,,rates huge impact business advice management diversify not focused industry solar,diversify not focused industry solar,4.0,3.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,,Mosaic,0.0,0.0299,0.0,-0.2924
57,Thu Sep 05 2019,Anonymous,"Tulsa, OK",Former Employee ,,2,,not back advice management follow core values particular respect diversity integrity going talk talk,follow core values particular respect diversity integrity going talk talk,1.0,1.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,No opinion of CEO,Magellan Midstream Partners,0.0,0.8126,0.0,0.8126
58,Sat Jul 01 2017,Anonymous,"Kansas City, KS",Former Employee ,,1,,currently speed dating love life father child figuratively speaking chemistry job three weeks tops,,3.0,,,,,,,,,Magellan Midstream Partners,0.0,0.8176,0.0,0.0
59,Wed Mar 01 2017,,, ,,2,,worse employer i've ever worked don't care employees harassment everywhere preach safety that's last thing really,,1.0,1.0,1.0,1.0,3.0,1.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO,Louisiana Pacific,0.0,-0.0201,0.0,0.0
60,Fri Dec 16 2016,Anonymous,"New Limerick, ME",Current Employee ,,2,,disposable commodity believe culture harassment people almost immediately pigeonholed moment walk,,1.0,1.0,1.0,1.0,3.0,1.0,Doesn't Recommend,Neutral Outlook,Approves of CEO,Louisiana Pacific,0.0,-0.5423,0.0,0.0
61,Mon Apr 21 2014, Pion,"High Level, AB",Current Employee ,culture harassment,0,,,,1.0,2.0,1.0,1.0,3.0,1.0,Doesn't Recommend,Negative Outlook,No opinion of CEO,Louisiana Pacific,-0.5423,0.0,0.0,0.0
62,Sat Mar 16 2019, Engineer,"Kirkland, WA",Former Employee ,,16,,ill terminal disease cruelty pip harassment applied person forced retire leave,,1.0,2.0,1.0,3.0,2.0,1.0,Doesn't Recommend,Negative Outlook,No opinion of CEO,Paccar,0.0,-0.9246,0.0,0.0
63,Tue Dec 18 2018, Engineering Manager,"Mount Vernon, WA",Former Employee ,,23,lord savior master mark pigott you’re comfortable token diversity candidate upper management say look don’t,,,1.0,1.0,1.0,1.0,1.0,1.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO,Paccar,0.0,0.0,0.5106,0.0
64,Thu Jun 14 2018, Manager,"Renton, WA",Current Employee ,,10,parts major culture change recent years newly formed diversity council fantastic job hosting language days pride parade event,,,5.0,4.0,4.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO,Paccar,0.0,0.0,0.7184,0.0
